PARTY_IDNTFR|EMAIL_ADDRESS|SECURITY_DIGITS|SECURITY_DIGITS_TYPE|BRDCST_DATE|TEMPLATE_ID|CUSTOMER_SURNAME|CUSTOMER_TITLE|UNIQUE_ID|COMMUNICATION_ID|BRAND_CODE|RUN_ID|LTR_TYP_CD|LTR_PRY_CD|LETTER_SHORT_DESC|DOCUMENT_DT|PRODCT_NAME|PRODCT_L4D|LETTER_GUID|LETTER_ID
499150082|edwardmoore@hotmail.com||||KAVAAAZ93327|Brown||981408343997886|||||7950||29-Dec-19||1910|A95E7E4FB513045FAB6C638EB316D153|SLBHO
188888483|jack42@sweeney-ochoa.com||||UQDXUJD64567|Murphy||69582995791668|||||8848||23-Dec-19||6551|A95E7E4FB670925FAB6C638EB316D597|HCOBS
591047556|deckerkevin@yahoo.com||||BVLHPLQ34659|Hernandez||322431348003288|||||377||14-Dec-19||7975|A95E7E4FB214232FAB6C638EB316D328|NVZKP
363233389|rodriguezkimberly@nichols.com||||YRILCFZ20581|Griffin||289365425781775|||||7132||19-Dec-19||4731|A95E7E4FB550044FAB6C638EB316D398|EJSLC
841146504|andrea45@harrington.net||||IDRBERO21200|Silva||96921589058984|||||9771||14-Dec-19||3503|A95E7E4FB839633FAB6C638EB316D251|PCMPH
741541067|ryanandrew@hotmail.com||||HAKPHEI64263|Parker||265577654164309|||||2016||15-Dec-19||4634|A95E7E4FB100538FAB6C638EB316D878|ANWVR
339722875|jamesmiddleton@flynn.com||||ZQCBQFL84500|Vance||60753127958877|||||3389||16-Dec-19||8787|A95E7E4FB874092FAB6C638EB316D804|RTJIE
138433924|ian89@smith-hunter.org||||GRICHFU38316|Carter||482381499532074|||||6520||26-Dec-19||5735|A95E7E4FB888980FAB6C638EB316D203|ODTIF
64838175|spencermichelle@gmail.com||||PEEJPDZ19315|Acosta||42067195297167|||||3184||21-Dec-19||1725|A95E7E4FB267720FAB6C638EB316D986|TNMOM
174360709|mchang@gibson.com||||WYNNGDX72953|Hoffman||883277636643821|||||1389||10-Dec-19||3331|A95E7E4FB851325FAB6C638EB316D420|ADZSN
696812303|eholmes@gmail.com||||UEBNJBZ37482|Bernard||545989109668519|||||5155||16-Dec-19||4635|A95E7E4FB240330FAB6C638EB316D349|SWYZZ
866994567|kevin51@yahoo.com||||ZXRKURP11440|Colon||126008856181674|||||3913||4-Dec-19||5850|A95E7E4FB954312FAB6C638EB316D758|FSCYM
503848703|santosmichael@green.info||||XJIPYOX20994|Rodriguez||818850398901108|||||433||26-Dec-19||5384|A95E7E4FB279350FAB6C638EB316D918|DEGTV
261907921|samantha85@armstrong-payne.net||||YNECKQJ63036|Lee||717825247213146|||||6950||4-Dec-19||6154|A95E7E4FB299443FAB6C638EB316D330|QILND
830906140|kellythompson@smith-le.net||||FFMZLKO18530|Flores||255346723811526|||||8630||24-Dec-19||3820|A95E7E4FB779708FAB6C638EB316D680|KZLYD
489645821|amber90@yahoo.com||||PKXXITF56820|Mccoy||56490704823907|||||8543||7-Dec-19||2926|A95E7E4FB335215FAB6C638EB316D834|IXPVI
464418986|kristaponce@johnson.com||||JTQEADH92231|Turner||586807732495295|||||8533||23-Dec-19||3768|A95E7E4FB213348FAB6C638EB316D77|MPSKH
275872563|davidnguyen@hotmail.com||||HWJXEEI51418|Johnson||130593251222394|||||4690||13-Dec-19||3096|A95E7E4FB133270FAB6C638EB316D609|SRYJB
965843512|robinsonkathy@hotmail.com||||PUAGFGB76791|Sweeney||880607816651438|||||1408||25-Dec-19||1951|A95E7E4FB458844FAB6C638EB316D461|LOZLZ
781676555|shannon17@sims.com||||PUFAYGW85492|Jones||412931205495745|||||4462||12-Dec-19||8134|A95E7E4FB781160FAB6C638EB316D833|ZZVCD
134645123|rosariojonathan@gmail.com||||KWNZZEF77740|Franco||257660947815101|||||8886||21-Dec-19||1413|A95E7E4FB968944FAB6C638EB316D563|KNKVI
317484145|darrensimon@martin.com||||XHCNHPV16745|Hansen||602181036761317|||||4942||23-Dec-19||8481|A95E7E4FB125890FAB6C638EB316D650|BLFSO
32234941|rcastro@hotmail.com||||XPBQAWA48006|Williams||259496329683934|||||5457||30-Dec-19||4636|A95E7E4FB678151FAB6C638EB316D554|KXTDO
830476222|stephenallen@hotmail.com||||SVWBEFG31890|Johnson||789877517984296|||||22||24-Dec-19||1318|A95E7E4FB769464FAB6C638EB316D129|PAWBC
601152805|vthornton@mcgrath.net||||UTZBJUG11689|Mccarthy||258490296581023|||||1791||16-Dec-19||5270|A95E7E4FB979544FAB6C638EB316D0|HYLOQ
663873965|michaelpatterson@johnson.com||||YRVKQAF60687|Smith||676280691455587|||||7511||29-Dec-19||5649|A95E7E4FB948285FAB6C638EB316D524|HORLL
992650843|obrown@gmail.com||||MFCGSOC19846|Valdez||211774058850830|||||3669||21-Dec-19||5815|A95E7E4FB710073FAB6C638EB316D177|LSBCY
173806456|hortongregory@yahoo.com||||BGGBXOP96964|Ramirez||160153476909457|||||1947||23-Dec-19||6193|A95E7E4FB522192FAB6C638EB316D822|LOELF
901532623|samanthabishop@hotmail.com||||MHXQYUF35459|Robinson||56775765563445|||||6737||18-Dec-19||5993|A95E7E4FB625649FAB6C638EB316D68|QWVUU
333513114|uroberts@gmail.com||||ROWOGDB30658|Ramsey||338559249937489|||||5688||21-Dec-19||9186|A95E7E4FB882786FAB6C638EB316D368|PBYCF
567680251|nataliecook@morris.com||||WVCJFOP60356|Lloyd||609611465244747|||||5796||10-Dec-19||9062|A95E7E4FB591246FAB6C638EB316D828|MURBZ
383352766|murphyshelly@sullivan.com||||FOIWWVF35126|Wagner||832835476028609|||||570||15-Dec-19||5069|A95E7E4FB984775FAB6C638EB316D688|YWYTJ
358002319|ksmith@yahoo.com||||JCEXJQB5609|Taylor||446952782936176|||||660||21-Dec-19||8570|A95E7E4FB496265FAB6C638EB316D254|ZNDCM
877958993|gmiller@hotmail.com||||WNUIXJC84164|Acosta||724013641767399|||||1609||1-Dec-19||1531|A95E7E4FB958554FAB6C638EB316D215|VTMDA
636791900|eric43@yahoo.com||||NUGFZAM39684|Harper||856886865480231|||||2251||21-Dec-19||3563|A95E7E4FB183336FAB6C638EB316D690|YXBID
99367760|richardbrown@yahoo.com||||JABIBVP67508|Walsh||500803673198268|||||716||14-Dec-19||5180|A95E7E4FB279215FAB6C638EB316D468|XWWGG
109521930|andersonanita@mendoza.com||||UCJYLSA33231|Rogers||402602919366780|||||47||30-Dec-19||8163|A95E7E4FB357546FAB6C638EB316D32|TOWRZ
313264972|samuelbaker@gmail.com||||TTDJKBN69158|Gilbert||902281320007679|||||2947||29-Dec-19||5138|A95E7E4FB981391FAB6C638EB316D775|DMIRO
365539144|ericavalencia@gmail.com||||GDAOALE37193|Dominguez||59962852089468|||||4898||12-Dec-19||3100|A95E7E4FB410372FAB6C638EB316D575|JYVLI
164836626|garrettjeffrey@yahoo.com||||IWESKRI11298|Cook||913601773734244|||||6780||26-Dec-19||1375|A95E7E4FB272090FAB6C638EB316D300|ISWEF
984539815|sdecker@yahoo.com||||QAXBZZT40266|Harrison||973099791735213|||||8302||24-Dec-19||2668|A95E7E4FB872123FAB6C638EB316D400|MHYVI
59397091|rachelharris@johnston.com||||DTSXIQP63764|Jimenez||653975706595701|||||8354||10-Dec-19||2471|A95E7E4FB910769FAB6C638EB316D239|CKIFL
940451998|teresacarter@hotmail.com||||PUJZZXY29455|Mcpherson||652026719555582|||||3391||11-Dec-19||1386|A95E7E4FB32835FAB6C638EB316D266|WTGYN
542109923|ncunningham@leonard-barnes.org||||UELGICI51607|Guzman||114657484356428|||||1189||24-Dec-19||6384|A95E7E4FB782528FAB6C638EB316D551|KWQKO
80803782|destiny17@harris.net||||UIAQTIU31938|Armstrong||64872624722121|||||8356||9-Dec-19||5894|A95E7E4FB107314FAB6C638EB316D920|SXBSX
106050824|cindy71@freeman.com||||VJZTBVK10916|Johnson||733966151532565|||||2715||3-Dec-19||7200|A95E7E4FB768540FAB6C638EB316D905|LCAGI
316532740|david16@kelly.com||||OPXDOPY38249|Reynolds||7684154847475|||||2533||30-Dec-19||7372|A95E7E4FB17112FAB6C638EB316D146|EGVQK
100032572|allison34@hotmail.com||||SXKUCOP89632|West||265634807388445|||||9470||14-Dec-19||5897|A95E7E4FB390970FAB6C638EB316D91|XBCIN
617443047|shannon95@carpenter-johnson.com||||TKAVBZT43162|Eaton||211187977863950|||||4957||18-Dec-19||9136|A95E7E4FB863463FAB6C638EB316D343|QZSKW
39814654|laura00@chavez.org||||LDXGFQF59042|Lee||192574345730420|||||4274||20-Dec-19||6022|A95E7E4FB851489FAB6C638EB316D122|CMVSS
443781790|lstout@james-cole.com||||GVHZUWK78553|Walker||949560070017433|||||9982||14-Dec-19||3383|A95E7E4FB981742FAB6C638EB316D705|IRLFX
909463720|dkennedy@alvarez.org||||YJDYNXV5821|Lynch||364768720912340|||||3315||10-Dec-19||3294|A95E7E4FB128738FAB6C638EB316D156|XPQFT
925054917|james59@gmail.com||||ZVXFBZN9331|Thomas||468001563388919|||||5397||1-Dec-19||1585|A95E7E4FB867526FAB6C638EB316D604|WZNZO
35078910|april30@gmail.com||||ZYNWAJN45197|Myers||44539798228542|||||7902||12-Dec-19||2894|A95E7E4FB23458FAB6C638EB316D200|MKMUY
40222519|ericawilson@yahoo.com||||UQFFGJX27661|Decker||184303422201800|||||5376||13-Dec-19||9334|A95E7E4FB589159FAB6C638EB316D41|ZWQAP
929702007|lindakhan@hunter.org||||NUJYHVN95502|Martin||247639350563688|||||5026||30-Dec-19||4175|A95E7E4FB206275FAB6C638EB316D116|PDFQV
403434481|patrick65@wilson.com||||CQNGHMH61833|Gardner||986040661966889|||||6967||6-Dec-19||5832|A95E7E4FB114020FAB6C638EB316D438|QQQDR
156006289|michael30@wolfe.com||||TMIVLWM30081|David||980733674124156|||||6338||20-Dec-19||7322|A95E7E4FB411633FAB6C638EB316D247|KJKXR
809212369|christinalam@martin.com||||BLBFYDV80731|Cunningham||310430983293401|||||1702||13-Dec-19||7744|A95E7E4FB270152FAB6C638EB316D507|GNVJH
41949859|cassandramills@gmail.com||||XHBLRIW63786|Riddle||316737385232361|||||3340||14-Dec-19||7995|A95E7E4FB981722FAB6C638EB316D564|VIZFD
764630175|paul44@arnold.com||||VLKVBOW80218|Fleming||318083326213484|||||9959||25-Dec-19||2026|A95E7E4FB732294FAB6C638EB316D316|XWAVF
317813874|fowlerangela@yahoo.com||||AYPQCQS98715|Holmes||561387335153968|||||746||10-Dec-19||3783|A95E7E4FB879438FAB6C638EB316D902|OTGGN
764465086|noah57@sosa-charles.biz||||INUDNFV75448|King||755481436673765|||||2875||10-Dec-19||1564|A95E7E4FB315734FAB6C638EB316D383|DBYUK
526982301|donaldjones@lloyd-washington.info||||JQYKVIZ97547|Rodgers||184404033711230|||||8519||17-Dec-19||4727|A95E7E4FB821399FAB6C638EB316D473|MWUEA
966776054|amanda05@yahoo.com||||XVWTELW48228|Sanchez||578197780252625|||||3799||28-Dec-19||9884|A95E7E4FB487260FAB6C638EB316D56|DKNSS
46579661|omcdonald@banks.com||||NGHHAYI52718|Ferguson||845272566235344|||||8433||15-Dec-19||5701|A95E7E4FB347535FAB6C638EB316D78|TTQGY
58477777|agarcia@gmail.com||||RXXPJQE18033|Choi||190297816417407|||||6626||11-Dec-19||5741|A95E7E4FB953259FAB6C638EB316D636|AOVAZ
957984647|xhudson@salas-petty.com||||PJUUZOY95731|Campbell||834127516248491|||||2106||11-Dec-19||3930|A95E7E4FB288874FAB6C638EB316D901|YSVQG
159596122|richardguzman@gmail.com||||IVQPOJD51741|Nixon||999668240533380|||||8027||12-Dec-19||8872|A95E7E4FB775049FAB6C638EB316D135|ZRLKK
347576871|kathy19@shaw.com||||RQBDFSN71935|Steele||782281524164937|||||5116||13-Dec-19||6379|A95E7E4FB349252FAB6C638EB316D925|VPKQS
856455600|kelly34@hotmail.com||||GSTUJID39270|Wood||66780061258602|||||5932||6-Dec-19||7909|A95E7E4FB75559FAB6C638EB316D848|NTUGM
274095572|mchristian@hotmail.com||||HFFKXKE11120|Strong||154144967691626|||||5942||11-Dec-19||8175|A95E7E4FB804873FAB6C638EB316D175|FHDQM
687299430|jordannorman@pierce-dunn.net||||LEWOAHV97964|Wright||957046344473367|||||872||9-Dec-19||5899|A95E7E4FB853920FAB6C638EB316D141|WBUFC
634440715|gonzalesdennis@pham-yu.com||||DCVGKAL65183|Skinner||397627637254133|||||5631||5-Dec-19||2848|A95E7E4FB186279FAB6C638EB316D342|PRIUY
453377110|patrickfitzgerald@yahoo.com||||IPHCEVP33195|Carr||219906743208360|||||9662||10-Dec-19||7373|A95E7E4FB268289FAB6C638EB316D230|GQDWG
19697857|ethancarey@hotmail.com||||WBFIGFL35345|Henry||375398933573166|||||4162||14-Dec-19||1379|A95E7E4FB381029FAB6C638EB316D380|WQKVJ
175025826|alex77@smith.com||||HUFIIVZ97874|Baker||224746658331963|||||1254||22-Dec-19||3022|A95E7E4FB818874FAB6C638EB316D824|UDRXD
541498810|christianlin@hotmail.com||||GZNPFHS28858|Wu||90944578382008|||||4843||27-Dec-19||3759|A95E7E4FB812502FAB6C638EB316D869|BFGOX
81060990|mpeterson@calderon-bartlett.net||||USFEISL39895|Shaffer||864544110143993|||||3489||29-Dec-19||6082|A95E7E4FB963978FAB6C638EB316D301|RJBLW
681897485|hclark@clark.org||||CWMLJCC9625|Mcdonald||66122592399087|||||6031||10-Dec-19||5947|A95E7E4FB654923FAB6C638EB316D332|YYXRU
42225853|dean69@hotmail.com||||WZXIRKO17050|Owen||533189088102182|||||5973||18-Dec-19||5978|A95E7E4FB695295FAB6C638EB316D228|SRGGI
740852455|pchambers@hotmail.com||||UKVVNBM39420|Cooke||405410813851555|||||8050||21-Dec-19||2755|A95E7E4FB744811FAB6C638EB316D338|XKAFB
532572307|joephelps@hotmail.com||||NGFRWHD91613|Martin||409056596298941|||||9898||15-Dec-19||7282|A95E7E4FB245973FAB6C638EB316D808|YYABH
